,Canonicalized SMILES,Canonicalized Taste,Original Labels,Source
0,Oc1cc2c(cc1O)C1c3ccc(O)c(O)c3OCC1(O)C2,sweet,"Sweet, Sweetness",chemtastes_db
1,CC(C)=CCCC(C)(O)C1CC(O)C(C)=CC1=O,sweet,"Sweet, Sweetness",chemtastes_db
2,CC(=O)OC1C(=O)c2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1,sweet,"Sweet, Sweetness",chemtastes_db
3,Oc1cc2c(cc1O)C1c3ccc(O)c(O)c3OCC1(O)C2,sweet,"Sweet, Sweetness",chemtastes_db
4,OC1C(O)C(O)C(O)C(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db
5,CON=C(C)C1CC=C(C=NO)CC1,sweet,"Sweet, Sweetness",chemtastes_db
6,NC(CC(O)(Cc1c[nH]c2ccccc12)C(=O)O)C(=O)[O-].[Na+],sweet,"Sweet, Sweetness",chemtastes_db
7,COc1ccc(C2OC3CC4CCC3(CS2)C4(C)C)cc1O,sweet,"Sweet, Sweetness",chemtastes_db
8,O=S(=O)([O-])Nc1ccc(Br)cc1.[Na+],sweet,"Non-sweet/Sweet; Sweet, Sweetness",chemtastes_db
9,COc1ccc(C(=O)C=CC(=O)O)cc1,sweet,"Sweet, Sweetness",chemtastes_db
10,CC1=CCC(C=NO)=CC1,sweet,"Sweet, Sweetness",chemtastes_db
11,COC(C)C1=CC=C(C=NO)CC1,sweet,"Sweet, Sweetness",chemtastes_db
12,COC(C)C1=CCC(C=NO)=CC1,sweet,"Sweet, Sweetness",chemtastes_db
13,COc1c(O)cc2c(c1O)C(=O)C(OC(C)=O)C(c1ccc(O)cc1)O2,sweet,"Sweet, Sweetness",chemtastes_db
14,CCC(O)CO,sweet,"Sweetish, Sweetness",chemtastes_db
15,CC(O)CO,sweet,"Sweet, Sweetness",chemtastes_db
16,COc1ccc(C2OCc3c(O)cccc3O2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db
17,COc1ccc(C2OCc3ccccc3O2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db
18,CC1=CC=C(C)CC1,sweet,"Sweet, Sweetness",chemtastes_db
19,O=S(=O)([O-])NC1CSCSC1.[Na+],sweet,"Sweet, Sweetness",chemtastes_db
20,OCC1OC(OC2(CCl)OC(CCl)C(Cl)C2O)C(O)C(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db
21,OCC(O)C1OCC(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db
22,OCC(O)C1OCC(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db
23,OCC1OCC(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db
24,OCC1OCC(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db
25,COc1ccc(C2COc3ccccc3O2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db
26,OCC1OC(OC2(CCl)OC(CO)C(Cl)C2O)C(O)C(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db
27,OCC1OCC(O)C(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db
28,OCC1OCC(O)C(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db
29,OCC1OCC(O)C(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db
30,CC1C(NS(=O)(=O)[O-])C(=O)N(c2ccccc2)N1C.[Na+],sweet,"Sweet, Sweetness",chemtastes_db
31,OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1O,sweet,"Sweet(7); Intensely sweet, Sweetness",chemtastes_db
32,OC1C(CCl)OC(O)(CCl)C1O,sweet,"Sweet, Sweetness",chemtastes_db
33,COCC1OC(COC)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,sweet,"Sweet; Less sweet, Sweetness",chemtastes_db
34,CSCC1OC(O)(CSC)C(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db
35,CC1(C(=O)O)CCCC2c3ccccc3C(C(=O)O)C21,sweet,"Sweet, Sweetness",chemtastes_db
36,CC(=O)C1CC=C(C=NO)CC1,sweet,"Sweet, Sweetness",chemtastes_db
37,NC1(C(=O)O)CCC1,sweet,"Sweet, Sweetness",chemtastes_db
38,OCC1OC(OC2(CCl)OC(CO)C(O)C2O)C(O)C(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db
39,ON=CC1=CCCCC1,sweet,"Sweet, Sweetness",chemtastes_db
40,ON=CC1=CCCC1,sweet,"Sweet, Sweetness",chemtastes_db
41,CC1(OC2OC(CO)C(O)C(O)C2O)OC(CO)C(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db
42,O=C(O)CNC(=Nc1ccc2cn[nH]c2c1)NC1CCCCCCC1,sweet,"Sweet, Sweetness",chemtastes_db
43,CC(NC(=Nc1cnc2cn[nH]c2c1)NCC(=O)O)c1ccccc1,sweet,"Sweet, Sweetness",chemtastes_db
44,CC1=CC=CCC1,sweet,"Sweet, Sweetness",chemtastes_db
45,CC1=CCCCC1,sweet,"Sweet, Sweetness",chemtastes_db
46,COCC1(OC2OC(CO)C(O)C(O)C2O)OC(CO)C(O)C1O,sweet,"Sweet; Very sweet, Sweetness",chemtastes_db
47,CC1=C(C)CC(C(=O)O)(S(=O)(=O)c2ccccc2)C(C)C1,sweet,"Sweet, Sweetness",chemtastes_db
48,CC1=C(C)CC(C(=O)O)(S(=O)(=O)c2ccccc2)CC1,sweet,"Sweet, Sweetness",chemtastes_db
49,CC1=CCC(C(=O)O)(S(=O)(=O)c2ccccc2)C(C)C1,sweet,"Sweet, Sweetness",chemtastes_db
50,CC1=CCC(C(=O)O)(S(=O)(=O)c2ccccc2)CC1,sweet,"Sweet, Sweetness",chemtastes_db
51,O=C(O)c1ccccc1C(=O)c1ccc(O)c(O)c1,sweet,"Sweet, Sweetness",chemtastes_db
52,COc1c(O)cc2c(c1O)C(=O)C(O)C(c1ccc(O)c(O)c1)O2,sweet,"Sweet, Sweetness",chemtastes_db
53,COc1c(O)cc2c(c1O)C(=O)C(OC(C)=O)C(c1ccc(O)c(O)c1)O2,sweet,"Sweet, Sweetness",chemtastes_db
54,COc1ccc(C(=O)c2ccccc2C(=O)O)cc1O,sweet,"Sweet, Sweetness",chemtastes_db
55,COc1ccc(OCc2ccccc2C(=O)O)cc1O,sweet,"Sweet, Sweetness",chemtastes_db
56,COc1ccc(C2OC(=O)c3ccccc3O2)cc1O,sweet,"Tasteless; Sweet(2), Sweetness",chemtastes_db
57,COc1ccc(C2Oc3ccccc3O2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db
58,COc1ccc(C2OC(=O)c3ccccc3S2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db
59,COc1ccc(C2Oc3ccccc3S2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db
60,COc1ccc(C2CSc3ccccc3S2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db
