Canonicalized SMILES,Canonicalized Taste,Original Labels,Source,PubChemID,InChI,INCHIKEY
Oc1cc2c(cc1O)C1c3ccc(O)c(O)c3OCC1(O)C2,sweet,"Sweet, Sweetness",ChemTastesDB,320930,,
CC(C)=CCCC(C)(O)C1CC(O)C(C)=CC1=O,sweet,"Sweet, Sweetness",ChemTastesDB,126862,,
CC(=O)OC1C(=O)c2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1,sweet,"Sweet, Sweetness",ChemTastesDB,442540,,
Oc1cc2c(cc1O)C1c3ccc(O)c(O)c3OCC1(O)C2,sweet,"Sweet, Sweetness",ChemTastesDB,442514,,
OC1C(O)C(O)C(O)C(O)C1O,sweet,"Sweet, Sweetness",ChemTastesDB,892,,
CON=C(C)C1CC=C(C=NO)CC1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
NC(CC(O)(Cc1c[nH]c2ccccc12)C(=O)O)C(=O)[O-].[Na+],sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COc1ccc(C2OC3CC4CCC3(CS2)C4(C)C)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
O=S(=O)([O-])Nc1ccc(Br)cc1.[Na+],sweet,"Non-sweet/Sweet; Sweet, Sweetness",ChemTastesDB,101600362,,
COc1ccc(C(=O)C=CC(=O)O)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,5355095,,
CC1=CCC(C=NO)=CC1,sweet,"Sweet, Sweetness",ChemTastesDB,44298881,,
COC(C)C1=CC=C(C=NO)CC1,sweet,"Sweet, Sweetness",ChemTastesDB,44457660,,
COC(C)C1=CCC(C=NO)=CC1,sweet,"Sweet, Sweetness",ChemTastesDB,44274568,,
COc1c(O)cc2c(c1O)C(=O)C(OC(C)=O)C(c1ccc(O)cc1)O2,sweet,"Sweet, Sweetness",ChemTastesDB,3512642,,
CCC(O)CO,sweet,"Sweetish, Sweetness",ChemTastesDB,11429,,
CC(O)CO,sweet,"Sweet, Sweetness",ChemTastesDB,1030,,
COc1ccc(C2OCc3c(O)cccc3O2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COc1ccc(C2OCc3ccccc3O2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC1=CC=C(C)CC1,sweet,"Sweet, Sweetness",ChemTastesDB,141267,,
O=S(=O)([O-])NC1CSCSC1.[Na+],sweet,"Sweet, Sweetness",ChemTastesDB,23721061,,
OCC1OC(OC2(CCl)OC(CCl)C(Cl)C2O)C(O)C(O)C1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
OCC(O)C1OCC(O)C1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
OCC(O)C1OCC(O)C1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
OCC1OCC(O)C1O,sweet,"Sweet, Sweetness",ChemTastesDB,10931473,,
