id,Taste,Canonical SMILES,Canonicalized Taste Intermediary,Canonicalized Taste,Canonicalized SMILES,Source,Original Labels
PMTDB00001,bitter; pungent,CC1C2CC2(CC1=O)C(C)C,bitter,bitter,CC1C(=O)CC2(C(C)C)CC12,phytocompounds_db,bitter; pungent
PMTDB00002,bitter; astringent; non-astringent; sweet (aftertaste) (insufficient evidence);,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,sweet,sweet,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,phytocompounds_db,bitter; astringent; non-astringent; sweet (aftertaste) (insufficient evidence);
PMTDB00002,bitter; astringent; non-astringent; sweet (aftertaste) (insufficient evidence);,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,bitter,bitter,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,phytocompounds_db,bitter; astringent; non-astringent; sweet (aftertaste) (insufficient evidence);
PMTDB00003,bitter,OCC1(O)COC(OC2=CC(O)=C3CC(O)C(OC3=C2)C2=CC=C(O)C=C2)C1O,bitter,bitter,OCC1(O)COC(Oc2cc(O)c3c(c2)OC(c2ccc(O)cc2)C(O)C3)C1O,phytocompounds_db,bitter
PMTDB00004,sweet,CC(C)=CCCC(C)(O)C1CC(O)C(C)=CC1=O,sweet,sweet,CC(C)=CCCC(C)(O)C1CC(O)C(C)=CC1=O,phytocompounds_db,sweet
PMTDB00005,sweet,COC1=C(O)C=C2OC(C(OC(C)=O)C(=O)C2=C1O)C1=CC=C(O)C=C1,sweet,sweet,COc1c(O)cc2c(c1O)C(=O)C(OC(C)=O)C(c1ccc(O)cc1)O2,phytocompounds_db,sweet
PMTDB00006,sweet,COC1=C(O)C=C2OC(C(O)C(=O)C2=C1O)C1=CC(O)=C(O)C=C1,sweet,sweet,COc1c(O)cc2c(c1O)C(=O)C(O)C(c1ccc(O)c(O)c1)O2,phytocompounds_db,sweet
PMTDB00007,sweet,COC1=C(O)C=C2OC(C(OC(C)=O)C(=O)C2=C1O)C1=CC(O)=C(O)C=C1,sweet,sweet,COc1c(O)cc2c(c1O)C(=O)C(OC(C)=O)C(c1ccc(O)c(O)c1)O2,phytocompounds_db,sweet
PMTDB00008,sweet;,C1C2=CC(=C(C=C2C3C1(COC4=C3C=CC(=C4O)O)O)O)O,sweet,sweet,Oc1cc2c(cc1O)C1c3ccc(O)c(O)c3OCC1(O)C2,phytocompounds_db,sweet;
PMTDB00009,pungent (insufficient evidence),CC1=C2CC3C(C2C4C(CC1)C(=C)C(=O)O4)(O3)C,undefined,undefined,C=C1C(=O)OC2C1CCC(C)=C1CC3OC3(C)C12,phytocompounds_db,pungent (insufficient evidence)
