unique_ID,SMILES,InChI,pka_type,pka_value,T,remarks,method,assessment,ref,ref_remarks,entry_remarks,original_IUPAC_names,name_contributors,num_name_contributors,original_IUPAC_nicknames,source,pressure,acidity_label,original_T,solvent,temperature,Canonicalized SMILES,Canonicalized Taste,Source,Original Labels
perrin124,NCCOP(=O)(O)O,"InChI=1S/C2H8NO4P/c3-1-2-7-8(4,5)6/h1-3H2,(H2,4,5,6)",pKa1,5.831,15,"(m), I=0.008 to 0.1","E1ch, R4",Reliable,C37,Thermodynamic quantities are derived from the results,,2-Aminoethyl dihydrogen phosphate,"['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5,,perrin,,A,,,15.0,NCCOP(=O)(O)O,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin124,NCCOP(=O)(O)O,"InChI=1S/C2H8NO4P/c3-1-2-7-8(4,5)6/h1-3H2,(H2,4,5,6)",pKa1,5.833,20,"(m), I=0.008 to 0.1","E1ch, R4",Reliable,C37,Thermodynamic quantities are derived from the results,,2-Aminoethyl dihydrogen phosphate,"['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5,,perrin,,A,,,20.0,NCCOP(=O)(O)O,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin124,NCCOP(=O)(O)O,"InChI=1S/C2H8NO4P/c3-1-2-7-8(4,5)6/h1-3H2,(H2,4,5,6)",pKa1,5.838,25,"(m), I=0.008 to 0.1","E1ch, R4",Reliable,C37,Thermodynamic quantities are derived from the results,,2-Aminoethyl dihydrogen phosphate,"['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5,,perrin,,A,,,25.0,NCCOP(=O)(O)O,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin124,NCCOP(=O)(O)O,"InChI=1S/C2H8NO4P/c3-1-2-7-8(4,5)6/h1-3H2,(H2,4,5,6)",pKa1,5.845,30,"(m), I=0.008 to 0.1","E1ch, R4",Reliable,C37,Thermodynamic quantities are derived from the results,,2-Aminoethyl dihydrogen phosphate,"['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5,,perrin,,A,,,30.0,NCCOP(=O)(O)O,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin566,Nc1ccccc1S,"InChI=1S/C6H7NS/c7-5-3-1-2-4-6(5)8/h1-4,8H,7H2",pKa1,6.59,20,"C=0.02, solution also contained ethanol",E3dg,Uncertain,D3,,,"aniline, 2-mercapto-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,20.0,Nc1ccccc1S,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1075,O=C(O)c1ccccn1,"InChI=1S/C6H5NO2/c8-6(9)5-3-1-2-4-7-5/h1-4H,(H,8,9)",pKa1,5.49,25,"C=0.001, I=0.02",E3b,Approximate,H54,,,"pyridine, 2-carboxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,25.0,O=C(O)c1ccccn1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1075,O=C(O)c1ccccn1,"InChI=1S/C6H5NO2/c8-6(9)5-3-1-2-4-7-5/h1-4H,(H,8,9)",pKa1,5.39,25,"I=0.03, acetate buffers",O5,Approximate,E32,,,"pyridine, 2-carboxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,25.0,O=C(O)c1ccccn1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1075,O=C(O)c1ccccn1,"InChI=1S/C6H5NO2/c8-6(9)5-3-1-2-4-7-5/h1-4H,(H,8,9)",pKa1,5.32,22,C between 0.05 and 0.1,E3bg,Approximate,G48,,,"pyridine, 2-carboxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,22.0,O=C(O)c1ccccn1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1075,O=C(O)c1ccccn1,"InChI=1S/C6H5NO2/c8-6(9)5-3-1-2-4-7-5/h1-4H,(H,8,9)",pKa1,5.4,20,"I=0.01(K2), C=10-4 to 5x10-4",O5,Approximate,J6,,,"pyridine, 2-carboxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,20+2,,20.0,O=C(O)c1ccccn1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1075,O=C(O)c1ccccn1,"InChI=1S/C6H5NO2/c8-6(9)5-3-1-2-4-7-5/h1-4H,(H,8,9)",pKa1,5.37,25,"I=0.01(K2), C=10-4 to 5x10-4",E,Approximate,L63,,,"pyridine, 2-carboxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,25.0,O=C(O)c1ccccn1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
