Names,Canonical SMILES,INCHIKEY,CAS number,Canonicalized Taste,Source,Canonicalized SMILES,Original Labels
(-)-Epicatechin,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,PFTAWBLQPZVEMU-UKRRQHHQSA-N,35323-91-2,bitter,tas2r_agonists,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,Ligand to Tas2 Receptor
(-)-α-thujone,CC1C2CC2(CC1=O)C(C)C,USMNOWBWPHYOEA-MRTMQBJTSA-N,546-80-5,bitter,tas2r_agonists,CC1C(=O)CC2(C(C)C)CC12,Ligand to Tas2 Receptor
Absinthin,CC1C2CCC(C3C4C5C=C(C6(C4C(=C3C2OC1=O)C)C5C(CCC7C6OC(=O)C7C)(C)O)C)(C)O,PZHWYURJZAPXAN-ILOFNVQHSA-N,1362-42-1,bitter,tas2r_agonists,CC1=CC2C3C4C(=C(C)C3C13C1OC(=O)C(C)C1CCC(C)(O)C23)C1OC(=O)C(C)C1CCC4(C)O,Ligand to Tas2 Receptor
Allyl Isothiocyanate (AITC),C=CCN=C=S,ZOJBYZNEUISWFT-UHFFFAOYSA-N,7 06 7,bitter,tas2r_agonists,C=CCN=C=S,Ligand to Tas2 Receptor
Amarogentin,C=CC1C2CCOC(=O)C2=COC1OC3C(C(C(C(O3)CO)O)O)OC(=O)C4=C(C=C(C=C4O)O)C5=CC(=CC=C5)O,DBOVHQOUSDWAPQ-WTONXPSSSA-N,21018-84-8,bitter,tas2r_agonists,C=CC1C(OC2OC(CO)C(O)C(O)C2OC(=O)c2c(O)cc(O)cc2-c2cccc(O)c2)OC=C2C(=O)OCCC21,Ligand to Tas2 Receptor
Arbutin,C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O,BJRNKVDFDLYUGJ-RMPHRYRLSA-N, 497-76-7,bitter,tas2r_agonists,OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,Ligand to Tas2 Receptor
Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,RYYVLZVUVIJVGH-UHFFFAOYSA-N,58-08-2,bitter,tas2r_agonists,Cn1c(=O)c2c(ncn2C)n(C)c1=O,Ligand to Tas2 Receptor
Calcium chloride; CaCl2,O.O.[Cl-].[Cl-].[Ca+2],LLSDKQJKOVVTOJ-UHFFFAOYSA-L,10043-52-4,bitter,tas2r_agonists,O.O.[Ca+2].[Cl-].[Cl-],Ligand to Tas2 Receptor
Castalagin,C1C2C(C3C4C(C5=C(C(=C(C(=C5C(=O)O4)C6=C(C(=C(C(=C6C(=O)O3)C7=C(C(=C(C=C7C(=O)O2)O)O)O)O)O)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8C9=C(C(=C(C=C9C(=O)O1)O)O)O)O)O)O,UDYKDZHZAKSYCO-UHFFFAOYSA-N,24312-00-3,bitter,tas2r_agonists,O=C1OCC2OC(=O)c3cc(O)c(O)c(O)c3-c3c(O)c(O)c(O)c4c3C(=O)OC(C2OC(=O)c2cc(O)c(O)c(O)c2-c2c1cc(O)c(O)c2O)C1OC(=O)c2c-4c(O)c(O)c(O)c2C1O,Ligand to Tas2 Receptor
Coumarin,C1=CC=C2C(=C1)C=CC(=O)O2,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,91-64-5,bitter,tas2r_agonists,O=c1ccc2ccccc2o1,Ligand to Tas2 Receptor
