Canonicalized SMILES,Standardized SMILES,Canonicalized Taste,Original Labels,Source
COC(=O)c1cccc(CCc2ccc(OC)c(O)c2)c1,COC(=O)c1cccc(CCc2ccc(OC)c(O)c2)c1,undefined,"Tasteless, Tastelessness",chemtastes_db
CCCCCC(=Cc1ccccc1)COC(=O)CC(C)C,CCCCCC(=Cc1ccccc1)COC(=O)CC(C)C,undefined,"oily, tobacco, fruity",flavor_db
CC=C(C)C(CCC(C)CCCC(C)C(C)CCC(C)C)OC1C(CO)OC(Oc2cc(O)c3c(=O)c(O)c(-c4ccc(OC)c(OC)c4)oc3c2)C(O)C1O,CC=C(C)C(CCC(C)CCCC(C)C(C)CCC(C)C)OC1C(CO)OC(Oc2cc(O)c3c(=O)c(O)c(-c4ccc(OC)c(OC)c4)oc3c2)C(O)C1O,sweet,sweet-like,flavor_db
CCC(C)C(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)NC(CC(N)=O)C(=O)O,CCC(C)C(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)NC(CC(N)=O)C(=O)O,sweet,sweet,flavor_db
CCOC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1O,CCOC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1O,sweet,sweet-like,flavor_db
COc1cc(-c2cc(=O)c3c(O)cc(OC4OC(C)C(O)C(O)C4OC4OC(C)C(O)C(O)C4O)cc3o2)ccc1OC=CCC(C)=O,COc1cc(-c2cc(=O)c3c(O)cc(OC4OC(C)C(O)C(O)C4OC4OC(C)C(O)C(O)C4O)cc3o2)ccc1OC=CCC(C)=O,sweet,sweet-like,flavor_db
COC(=O)C(CN)NC(=O)CCc1ccccc1,COC(=O)C(CN)NC(=O)CCc1ccccc1,sweet,sweet,flavor_db
CC(C)=CCCC(C)=CC(C)O,CC(C)=CCCC(C)=CC(C)O,undefined,"lemon, citronellol, lime, woody, pine",flavor_db
C=CCOC(=O)CCC1CCCCC1,C=CCOC(=O)CCC1CCCCC1,sweet,"pineapple, waxy, sweet, fruity, tropical, candy",flavor_db
C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC)C3,C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC)C3,sweet,sweet-like,flavor_db
CCCCCC1OCC(C)O1,CCCCCC1OCC(C)O1,undefined,"vegetable skin, rue, licorice, petroleum, waxy, fresh, clean, green",flavor_db
C1CC(C1)C2=CC=C(C=C2)C(=O)O,O=C(O)c1ccc(C2CCC2)cc1,sour,pKa between 2 and 7,IUPAC Dissocation Constants
C=CCSSSC,C=CCSSSC,undefined,"garlic, onion, creamy, alliaceous",flavor_db
CCCCCOCC1(O)OCC(O)C(O)C1O,CCCCCOCC1(O)OCC(O)C(O)C1O,sweet,sweet,flavor_db
CC(=O)OC1CC(C)(C(=O)O)CC2C3=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6OC6OC(C)C(O)C(O)C6O)C(C)(CO)C5CCC4(C)C3(C)CCC12C,CC(=O)OC1CC(C)(C(=O)O)CC2C3=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6OC6OC(C)C(O)C(O)C6O)C(C)(CO)C5CCC4(C)C3(C)CCC12C,sweet,sweet-like,flavor_db
CSc1ccc(C2CSc3ccccc3O2)cc1O,CSc1ccc(C2CSc3ccccc3O2)cc1O,undefined,"Tasteless, Tastelessness",chemtastes_db
CCC(C)C(NC(=O)C(N)C(C)C)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(C(=O)NC(CCCCN)C(=O)O)C(C)C,CCC(C)C(NC(=O)C(N)C(C)C)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(C(=O)NC(CCCCN)C(=O)O)C(C)C,sweet,sweet,flavor_db
CCCCCCCCOC=O,CCCCCCCCOC=O,undefined,"orange, rose, waxy, fruity, cucumber",flavor_db
COC(=O)c1ccc(CCc2ccc(OC)c(O)c2)cc1,COC(=O)c1ccc(CCc2ccc(OC)c(O)c2)cc1,undefined,"Tasteless, Tastelessness",chemtastes_db
COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5OC)C(O)C(O)C4O)cc3O2)cc1OC,COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5OC)C(O)C(O)C4O)cc3O2)cc1OC,sweet,sweet-like,flavor_db
COc1ccc(-c2coc3cc(OC4OC(COC(=O)CC(=O)O)C(O)C(O)C4O)ccc3c2=O)cc1O,COc1ccc(-c2coc3cc(OC4OC(COC(=O)CC(=O)O)C(O)C(O)C4O)ccc3c2=O)cc1O,sweet,sweet-like,flavor_db
C1CCCC(CC1)(C(=O)O)O,O=C(O)C1(O)CCCCCC1,sour,pKa between 2 and 7,IUPAC Dissocation Constants
C1=CC=C(C=C1)C2=C(C(=O)ON2)Br,O=c1o[nH]c(-c2ccccc2)c1Br,sour,pKa between 2 and 7,IUPAC Dissocation Constants
CCCCCCOC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,CCCCCCOC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,sweet,sweet,flavor_db
OCC(O)C(O)C(O)C1OC(O)C(O)C1O,OCC(O)C(O)C(O)C1OC(O)C(O)C1O,sweet,sweet,flavor_db
Cc1ccc(N=NC(=NNc2ccccc2)c2ccccc2)cc1,Cc1ccc(N=NC(=NNc2ccccc2)c2ccccc2)cc1,sweet,sweet-like,flavor_db
C1CC2CCC1C(C2C(=O)O)C(=O)O,O=C(O)C1C2CCC(CC2)C1C(=O)O,sour,pKa between 2 and 7,IUPAC Dissocation Constants
C1=C(C=NC=N1)O,Oc1cncnc1,sour,pKa between 2 and 7,IUPAC Dissocation Constants
CCC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(=O)NC(CC(=O)O)C(=O)O,CCC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(=O)NC(CC(=O)O)C(=O)O,sweet,sweet,flavor_db
Nc1nc(F)nc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Nc1nc(F)nc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,sweet,sweet-like,flavor_db
COc1ccc(-c2coc3cc(OC4OC(CO)C(O)C(O)C4O)ccc3c2=O)cc1O,COc1ccc(-c2coc3cc(OC4OC(CO)C(O)C(O)C4O)ccc3c2=O)cc1O,sweet,sweet-like,flavor_db
OCC(O)C(O)C(O)C=[Se],OCC(O)C(O)C(O)C=[Se],sweet,sweet,flavor_db
C(C(=O)O)S,O=C(O)CS,sour,pKa between 2 and 7,IUPAC Dissocation Constants
CCCCCCCCOC(=O)CCCCCCC,CCCCCCCCOC(=O)CCCCCCC,undefined,"oily, coconut, fruity",flavor_db
CCCOC(=O)c1ccccc1,CCCOC(=O)c1ccccc1,undefined,"nutty, balsam",flavor_db
CCCCCC1C(=O)CCC1CC(=O)OC,CCCCCC1C(=O)CCC1CC(=O)OC,undefined,"lactonic, jasmin, floral, oily, tropical, natural, green",flavor_db
OCCCCC(O)COC1OC(CO)C(O)C(O)C1O,OCCCCC(O)COC1OC(CO)C(O)C(O)C1O,sweet,sweet,flavor_db
COC1OC(CO)(OC)C2OC(C)(C)OC2C1O,COC1OC(CO)(OC)C2OC(C)(C)OC2C1O,sweet,sweet,flavor_db
CSCCC(NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,CSCCC(NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,sweet,flavor_db
SCS,SCS,undefined,pungent,flavor_db
CC(=O)OC1C2C(Cc3occc3C2(C)O)C2(C)C(=O)CCC(C)(C)C2(O)C1OC(C)=O,CC(=O)OC1C2C(Cc3occc3C2(C)O)C2(C)C(=O)CCC(C)(C)C2(O)C1OC(C)=O,bitter,bitter,phytocompounds_db
CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)C(N)CC(=O)O)C(=O)O,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)C(N)CC(=O)O)C(=O)O,sweet,sweet,flavor_db
CCCCC(=O)C(CCC)Sc1ccoc1C,CCCCC(=O)C(CCC)Sc1ccoc1C,undefined,"roasted, meaty",flavor_db
CCN(CC)CCN1C(=O)c2ccccc2S1(=O)=O,CCN(CC)CCN1C(=O)c2ccccc2S1(=O)=O,bitter,"Moderately bitter, Bitterness",chemtastes_db
CC(C)CC(N)C(=O)NC(C(=O)NC(Cc1ccccc1)C(=O)O)C(C)C,CC(C)CC(N)C(=O)NC(C(=O)NC(Cc1ccccc1)C(=O)O)C(C)C,sweet,sweet,flavor_db
Nc1ncnc2c1ncn2C1CC(OP(O)(=S)S)C(CO)O1,Nc1ncnc2c1ncn2C1CC(OP(O)(=S)S)C(CO)O1,sweet,sweet-like,flavor_db
CC(=O)NC(Cc1ccccc1)C(=O)NC(CCCC[NH3+])C(=O)[O-],CC(=O)NC(Cc1ccccc1)C(=O)NC(CCCC[NH3+])C(=O)[O-],sweet,sweet,flavor_db
CC(=O)OC1CC(C)(C=O)CC2C3=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC4(C)C3(C)CCC12C,CC(=O)OC1CC(C)(C=O)CC2C3=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC4(C)C3(C)CCC12C,sweet,sweet-like,flavor_db
CCCCCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,CCCCCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,sweet,sweet,flavor_db
CC1OC(OC2C(Oc3c(O)cc4oc(-c5ccccc5)cc(=O)c4c3O)OC(CO)C(O)C2O)C(O)C(O)C1O,CC1OC(OC2C(Oc3c(O)cc4oc(-c5ccccc5)cc(=O)c4c3O)OC(CO)C(O)C2O)C(O)C(O)C1O,sweet,sweet-like,flavor_db
C(CC(=O)O)[C@@H](C(=O)O)NC(=O)[C@H](CO)N,N[C@@H](CO)C(=O)N[C@@H](CCC(=O)O)C(=O)O,sour,pKa between 2 and 7,IUPAC Dissocation Constants
O=C(C(O)CO)C(O)C(O)C(O)CO,O=C(C(O)CO)C(O)C(O)C(O)CO,sweet,sweet,flavor_db
O=C(C=Cc1ccccc1)OCC1CCCO1,O=C(C=Cc1ccccc1)OCC1CCCO1,sweet,"sweet, cortex, balsam",flavor_db
