,Canonicalized SMILES,Standardized SMILES,Canonicalized Taste,Original Labels,Source,is_multiclass
0,COC(=O)c1cccc(CCc2ccc(OC)c(O)c2)c1,COC(=O)c1cccc(CCc2ccc(OC)c(O)c2)c1,undefined,"Tasteless, Tastelessness",chemtastes_db,0
1,CCCCCC(=Cc1ccccc1)COC(=O)CC(C)C,CCCCCC(=Cc1ccccc1)COC(=O)CC(C)C,undefined,"oily, tobacco, fruity",flavor_db,0
2,CC=C(C)C(CCC(C)CCCC(C)C(C)CCC(C)C)OC1C(CO)OC(Oc2cc(O)c3c(=O)c(O)c(-c4ccc(OC)c(OC)c4)oc3c2)C(O)C1O,CC=C(C)C(CCC(C)CCCC(C)C(C)CCC(C)C)OC1C(CO)OC(Oc2cc(O)c3c(=O)c(O)c(-c4ccc(OC)c(OC)c4)oc3c2)C(O)C1O,sweet,sweet-like,flavor_db,0
3,CCC(C)C(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)NC(CC(N)=O)C(=O)O,CCC(C)C(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)NC(CC(N)=O)C(=O)O,sweet,sweet,flavor_db,0
4,CCOC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1O,CCOC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1O,sweet,sweet-like,flavor_db,0
5,COc1cc(-c2cc(=O)c3c(O)cc(OC4OC(C)C(O)C(O)C4OC4OC(C)C(O)C(O)C4O)cc3o2)ccc1OC=CCC(C)=O,COc1cc(-c2cc(=O)c3c(O)cc(OC4OC(C)C(O)C(O)C4OC4OC(C)C(O)C(O)C4O)cc3o2)ccc1OC=CCC(C)=O,sweet,sweet-like,flavor_db,0
6,COC(=O)C(CN)NC(=O)CCc1ccccc1,COC(=O)C(CN)NC(=O)CCc1ccccc1,sweet,sweet,flavor_db,0
7,CC(C)=CCCC(C)=CC(C)O,CC(C)=CCCC(C)=CC(C)O,undefined,"lemon, citronellol, lime, woody, pine",flavor_db,0
8,C=CCOC(=O)CCC1CCCCC1,C=CCOC(=O)CCC1CCCCC1,sweet,"pineapple, waxy, sweet, fruity, tropical, candy",flavor_db,0
9,C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC)C3,C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC)C3,sweet,sweet-like,flavor_db,0
